City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,benghazi,32.1167,20.0667,16.38,40,0,8.42,LY,1674293805
84,port elizabeth,-33.918,25.5701,28.39,80,75,4.63,ZA,1674293806
85,roswell,34.0232,-84.3616,6.11,70,0,3.09,US,1674293806
86,fengrun,39.8333,118.1167,-2.2,36,12,1.49,CN,1674293807
87,cururupu,-1.8283,-44.8683,23.52,94,97,1.07,BR,1674293808
88,vaini,-21.2,-175.2,27.09,94,40,2.06,TO,1674293809
89,svarstad,59.399,9.9698,-6.06,72,29,0.54,NO,1674293809
90,atuona,-9.8,-139.0333,26.07,76,8,8.24,PF,1674293810
91,padang,-0.9492,100.3543,29.03,84,100,0.95,ID,1674293811
92,praia da vitoria,38.7333,-27.0667,15.42,82,20,7.37,PT,1674293812
93,beringovskiy,63.05,179.3167,-34.15,91,18,1.68,RU,1674293813
94,georgetown,5.4112,100.3354,27.96,87,20,2.57,MY,1674293814
95,victoria,22.2855,114.1577,18.31,82,84,5.36,HK,1674293690
96,dudinka,69.4058,86.1778,-29.1,69,77,9.86,RU,1674293815
97,bonavista,48.6499,-53.1147,-0.74,96,100,13.63,CA,1674293816
98,saint george,37.1041,-113.5841,-0.42,79,0,2.57,US,1674293817
99,papiu ilarian,46.5593,24.2006,3.67,93,20,2.57,RO,1674293819
100,avera,33.194,-82.5271,8.73,63,100,2.55,US,1674293820
101,ponta delgada,37.7333,-25.6667,15.4,63,75,2.57,PT,1674293820
102,saldanha,-33.0117,17.9442,26.03,70,14,4.68,ZA,1674293821
103,bardsir,29.9227,56.5743,4.26,35,0,2.03,IR,1674293822
104,arraial do cabo,-22.9661,-42.0278,22.98,94,75,1.03,BR,1674293823
105,east london,-33.0153,27.9116,29.52,70,20,8.75,ZA,1674293823
106,cidreira,-30.1811,-50.2056,23.34,89,100,4.42,BR,1674293824
107,indiana,40.0003,-86.2503,-0.32,79,100,2.57,US,1674293825
108,mayo,38.8876,-76.5119,4.72,68,0,4.47,US,1674293826
109,esil,51.9556,66.4042,-12.67,78,7,0.87,KZ,1674293827
110,san patricio,28.017,-97.5169,16.02,88,100,4.56,US,1674293828
111,tuatapere,-46.1333,167.6833,9.33,78,14,1.38,NZ,1674293829
112,yellowknife,62.456,-114.3525,-20.25,77,75,4.63,CA,1674293717
113,pandan,14.0453,124.1694,24.52,91,23,7.2,PH,1674293830
114,alofi,-19.0595,-169.9187,24.94,94,9,1.54,NU,1674293831
115,darnah,32.767,22.6367,15.28,43,0,7.74,LY,1674293831
116,sayyan,15.1718,44.3244,18.45,19,0,0.65,YE,1674293832
117,hobart,-42.8794,147.3294,16.92,87,75,4.63,AU,1674293175
118,tweed,44.4751,-77.3162,-3.45,97,16,1.35,CA,1674293834
119,freeport,40.6576,-73.5832,4.73,65,75,8.75,US,1674293834
120,alice springs,-23.7,133.8833,27.75,44,100,3.6,AU,1674293835
121,nsoko,-27.0333,31.95,35.48,26,99,2.28,SZ,1674293836
122,yaan,7.3833,8.5667,33.19,14,2,3.76,NG,1674293837
123,juneau,58.3019,-134.4197,6.0,89,75,8.75,US,1674293838
124,la asuncion,11.0333,-63.8628,23.85,88,11,2.06,VE,1674293701
125,marivan,35.5219,46.176,8.28,32,8,0.69,IR,1674293839
126,antalaha,-14.9003,50.2788,28.83,67,99,3.09,MG,1674293840
127,paris,48.8534,2.3488,1.19,86,75,6.69,FR,1674293640
128,katsuura,35.1333,140.3,6.51,45,93,1.36,JP,1674293841
129,hasaki,35.7333,140.8333,4.01,42,85,3.96,JP,1674293842
130,waingapu,-9.6567,120.2641,27.81,70,26,2.59,ID,1674293843
131,airai,-8.9266,125.4092,17.7,92,71,0.9,TL,1674293844
132,sinnamary,5.3833,-52.95,23.56,93,100,4.89,GF,1674293844
133,mangrol,21.1167,70.1167,24.63,40,2,5.24,IN,1674293845
134,coquimbo,-29.9533,-71.3436,15.85,77,0,3.6,CL,1674293596
135,ajdabiya,30.7554,20.2263,14.91,34,0,5.82,LY,1674293847
136,nanortalik,60.1432,-45.2371,-11.79,64,1,11.75,GL,1674293847
137,mount isa,-20.7333,139.5,34.87,29,100,0.51,AU,1674293848
138,mackay,-21.15,149.2,25.93,81,10,5.64,AU,1674293849
139,portland,45.5234,-122.6762,3.31,95,75,1.54,US,1674293807
140,nyalikungu,-3.1833,33.7833,26.34,44,100,2.5,TZ,1674293850
141,amapa,1.0,-52.0,20.63,100,96,0.99,BR,1674293851
142,tarut,26.5733,50.0369,20.11,52,2,1.04,SA,1674293852
143,spassk-dalniy,44.5978,132.8211,-27.71,95,53,1.77,RU,1674293853
144,sovetskaya gavan,48.9723,140.2878,-23.4,72,5,4.05,RU,1674293853
145,vanimo,-2.6741,141.3028,26.13,86,100,2.94,PG,1674293854
146,san carlos de bariloche,-41.1456,-71.3082,9.02,81,0,2.06,AR,1674293855
147,jardim,-21.4803,-56.1381,21.75,95,3,1.66,BR,1674293857
148,clarence town,-32.5833,151.7833,21.59,76,86,2.3,AU,1674293858
149,darhan,49.4867,105.9228,-22.78,93,100,2.49,MN,1674293858
150,kitob,39.0843,66.8332,0.36,70,70,0.98,UZ,1674293859
151,hailar,49.2,119.7,-36.41,99,49,1.57,CN,1674293860
152,kaitangata,-46.2817,169.8464,10.32,77,22,1.23,NZ,1674293861
153,sibolga,1.7427,98.7792,24.85,91,100,0.74,ID,1674293861
154,guerrero negro,27.9769,-114.0611,12.68,68,0,1.57,MX,1674293862
155,hobyo,5.3505,48.5268,27.34,62,38,11.59,SO,1674293863
156,quirinopolis,-18.4483,-50.4517,21.24,90,98,1.76,BR,1674293864
157,lakatoro,-16.0999,167.4164,27.31,80,99,2.38,VU,1674293864
158,nikolskoye,59.7035,30.7861,-1.22,85,91,0.7,RU,1674293865
159,brae,60.3964,-1.353,6.5,78,100,13.61,GB,1674293866
160,kosonsoy,41.2561,71.5508,-1.69,70,61,1.17,UZ,1674293867
161,dalby,-27.1833,151.2667,22.46,63,85,9.44,AU,1674293868
162,dimbokro,6.6451,-4.7048,30.34,54,100,1.54,CI,1674293869
163,west fargo,46.875,-96.9004,-6.97,93,100,4.12,US,1674293870
164,andenes,69.3143,16.1194,1.07,80,40,5.14,NO,1674293871
